"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"somclid_prkm"
"ENSMUSG00000045532_C1ql1"	5.035	1.8	0.65	0.26	1.94	3.76	4.755	6.175	10
"ENSMUSG00000074207_Adh1"	0.1	0.06	1.32	5.86	0.575	1.26	0.99	2.88	6
"ENSMUSG00000037348_Paqr7"	1.355	0.64	1.49	1.41	1.985	3.48	3.245	5.955	10
"ENSMUSG00000032332_Col12a1"	0.045	0.03	5.88	5.805	2.42	1.065	0.575	0.955	5
"ENSMUSG00000034701_Neurod1"	4.5	1.55	6.28	2.445	0.455	0.345	0.35	0.345	4
"ENSMUSG00000042761_Mrap2"	0.06	0.08	0.05	0.055	0.355	2.61	3.965	6.28	10
"ENSMUSG00000029205_Chrna9"	5.43	1.79	0.03	0.09	0.115	0	0.005	0	1
"ENSMUSG00000037196_Pacrg"	0.245	0.31	1.75	1.46	3.73	5.02	5.145	5.945	10
"ENSMUSG00000059723_Hoxa3"	0.01	0	6.3	2.88	1.38	0.63	0.36	0.325	5
"ENSMUSG00000031380_Figf"	1.25	1.06	0.59	6.295	0.28	0.17	0.105	0.4	6
"ENSMUSG00000036356_Csgalnact1"	0.065	0.43	1.79	1.77	3.7	4.925	5.34	6.33	10
"ENSMUSG00000046160_Olig1"	0.285	0.17	0.19	0.09	5.27	2.435	3.415	5.845	9
"ENSMUSG00000066894_Vsig10"	6.205	5.9	3.49	1.61	0.74	0.46	0.53	0.92	2
"ENSMUSG00000021611_Tert"	5.945	5.65	2.24	1.62	0.35	0.085	0.045	0.08	2
"ENSMUSG00000041440_Gk5"	6.15	5.87	3.67	2.645	1.635	1.045	0.72	0.45	2
"ENSMUSG00000021313_Ryr2"	0.575	0.64	0.41	0.815	3.76	6.13	5.95	5.88	10
"ENSMUSG00000021340_Gpld1"	0.73	0.96	3.3	4.41	3.14	3.675	4.11	6.175	7
"ENSMUSG00000041741_Pde3a"	0.2	0.76	3.81	5.845	5.34	5.575	5.515	3.435	7
"ENSMUSG00000031488_Rab11fip1"	5.475	5.43	6.38	2.775	1.015	0.51	0.47	0.49	3
"ENSMUSG00000051890_Klhdc1"	0.535	0.53	1	0.85	4.39	4.28	5.5	6.24	10
"ENSMUSG00000032908_Sgpp2"	0.15	0.24	1.89	0.365	0.23	1.385	3.89	6.275	10
"ENSMUSG00000051331_Cacna1c"	0.045	0.11	0.94	1.835	5.44	6.36	5.425	4.585	8
"ENSMUSG00000003283_Hck"	5.425	1.51	0.08	0.02	0.26	0.19	0.08	0.04	1
"ENSMUSG00000025215_Tlx1"	0.01	0.02	0.34	6.165	0.1	0.91	1.315	1.585	6
"ENSMUSG00000049929_Lpar4"	2.54	4.48	6.42	5.275	2.935	0.555	0.31	0.33	4
"ENSMUSG00000032224_Fam81a"	5.57	4.56	0.66	0.37	1.98	5.155	3.755	2.94	1
"ENSMUSG00000049493_Pls1"	5.695	3.14	0.61	0.29	0.555	0.615	0.775	0.705	1
"ENSMUSG00000054675_Tmem119"	0.315	0.61	3.8	6.28	0.78	0.7	0.21	0.55	5
"ENSMUSG00000059456_Ptk2b"	5.275	4.09	0.15	0.13	0.42	0.36	0.24	0.285	1
"ENSMUSG00000002930_Gsbs"	0.01	0.06	6.44	2.865	0.11	0.01	0.02	0.055	5
"ENSMUSG00000002459_Rgs20"	0.71	2.44	2.51	3.04	6.33	5.38	5.405	5.5	8
"ENSMUSG00000043456_Zfp536"	0.165	0.1	3.4	5.535	5.9	4.415	3.725	3.1	7
"ENSMUSG00000057455_Rit2"	0.01	0.02	0.29	0.54	5.145	3.75	3.215	6.31	9
"ENSMUSG00000027956_Tmem144"	1.915	5.76	6.46	2.215	0.69	0.24	0.195	0.185	4
"ENSMUSG00000045903_Npas4"	0.02	0.13	0.16	0.24	5.165	1.565	2.985	6.23	9
"ENSMUSG00000009670_Tex11"	5.335	6.47	4.1	0.84	0.22	0.03	0.025	0.025	2
"ENSMUSG00000035355_Kcnh4"	0.33	0.36	1.25	4.555	6.34	1.265	0.605	0.55	7
"ENSMUSG00000040536_Necab1"	0.775	0.21	0.49	0.835	5.705	6.435	4.49	5.02	9
"ENSMUSG00000046854_Pip5kl1"	1.895	0.87	0.47	0.645	5.66	4.96	4.325	6.2	9
"ENSMUSG00000020183_Cpm"	1.035	2.3	6.48	1.365	0.665	0.27	0.065	0.065	4
"ENSMUSG00000036908_Unc93b1"	5.95	5.17	2.25	0.725	0.115	0.235	0.315	0.335	1
"ENSMUSG00000038009_Dnajc22"	5.29	6.48	4.36	0.845	0.335	0.195	0.16	0.185	3
"ENSMUSG00000040387_Klhl32"	0.1	0.1	0.89	1.89	3.645	5.645	6.17	6.39	10
"ENSMUSG00000007888_Crlf1"	6.085	0.3	0.85	1.71	6.05	2.875	2.5	2.555	7
"ENSMUSG00000030353_Tead4"	4.275	6.49	1.51	1.06	0.325	0.06	0.04	0.005	2
"ENSMUSG00000021685_Otp"	0.01	0.18	2.34	6.265	3.03	4.78	4.475	3.805	7
"ENSMUSG00000022297_Fzd6"	2.93	3.25	6.5	2.02	0.81	0.375	0.34	0.265	4
"ENSMUSG00000046463_5930403N24Rik"	0.15	0.31	2.61	6.08	2.22	0.605	0.345	0.24	6
"ENSMUSG00000022237_Ankrd33b"	1.785	2.34	6.51	5.61	0.62	0.175	0.13	0.09	5
"ENSMUSG00000042258_Isl1"	0.22	0.72	5.31	6.235	2.955	0.23	0.19	0.12	5
"ENSMUSG00000021294_Kif26a"	5.925	3.95	0.75	1.105	5.725	0.625	0.21	0.12	1
"ENSMUSG00000038068_Rnf144b"	0.41	0.39	6.52	0.15	0.325	0.34	0.34	0.47	4
"ENSMUSG00000074505_Fat3"	0.025	0.17	2.42	3.495	3.98	6.43	5.64	4.61	8
"ENSMUSG00000034171_Faah"	1.495	2.21	0.52	0.84	5.465	6.47	6.3	6.385	9
"ENSMUSG00000046152_Fut10"	1.365	3.41	6.54	2.88	0.83	0.405	0.47	0.77	4
"ENSMUSG00000064215_Ifi27l1"	0.59	0.75	2.37	3.67	3.915	4.04	2.475	5.675	8
"ENSMUSG00000027329_Spef1"	0.5	0.43	3.67	6.3	5.315	2.14	1.92	2.04	6
"ENSMUSG00000037455_1110021L09Rik"	1.655	2.66	6.1	6.525	1.245	0.805	0.52	0.645	5
"ENSMUSG00000058400_Qrfpr"	0.01	0.04	6.55	0.28	0.295	0.435	0.405	0.895	5
"ENSMUSG00000041205_Map6d1"	0.62	0.56	0.65	0.725	4.16	5.53	6.25	5.07	9
"ENSMUSG00000024544_D18Ertd653e"	0.425	0.51	0.18	0.56	2.21	6.12	6.155	5.6	10
"ENSMUSG00000030263_Lrmp"	4.04	6.57	0.11	0.055	0.18	0.025	0.02	0	1
"ENSMUSG00000027796_Smad9"	0.22	0.05	0.31	0.08	0.6	3.185	4.53	6.38	10
"ENSMUSG00000053367_Gm6792"	5.29	2.25	0.12	0.1	0.435	0	0.01	0.005	1
"ENSMUSG00000034353_Ramp1"	0.03	0.01	6.59	1.46	0.01	0.02	0.005	0.015	5
"ENSMUSG00000038526_Car14"	1.245	3.18	6.59	2.04	1.58	0.605	0.85	1.04	4
"ENSMUSG00000059060_Rad51l1"	6.165	6.59	4.58	1.2	0.52	0.24	0.095	0.095	2
"ENSMUSG00000027849_Syt6"	0.06	0.08	6.6	1.155	1.095	2.425	1.85	2.52	5
"ENSMUSG00000039865_Slc44a3"	0.825	2.74	6.6	2.155	0.44	0.245	0.17	0.145	4
"ENSMUSG00000042807_Hecw2"	0.265	0.46	0.95	1.705	3.47	6.55	6.21	4.85	9
"ENSMUSG00000047910_Pcdhb16"	0.005	0.1	2.84	5.875	6.6	3.235	2.105	1.515	7
"ENSMUSG00000072769_Gm10419"	0.005	0	0.05	0.025	2.435	4.085	4.13	6.61	10
"ENSMUSG00000016763_Scube1"	0.26	0.36	6.63	4.76	4.685	2.615	1.65	1.135	6
"ENSMUSG00000021469_Msx2"	0.315	1.23	6.63	1.17	0.51	0.075	0.055	0.09	4
"ENSMUSG00000034792_Gna15"	6.495	4.44	0.04	0.055	0.12	0.08	0.09	0.045	1
"ENSMUSG00000042817_Flt3"	0.135	0.03	0.02	0.015	0.74	2.325	3.56	6.41	10
"ENSMUSG00000074598_Ufm1"	0.215	0.35	1.79	3.055	3.59	4.525	5.41	6.47	10
"ENSMUSG00000003418_St8sia6"	0.32	0.66	0.26	0.175	1.115	4.32	6.505	5.28	10
"ENSMUSG00000074873_AI606181"	0.41	2.17	3.13	6.355	1.115	0.53	0.66	1.225	5
"ENSMUSG00000022358_Fbxo32"	1.08	2.88	2.95	6.21	2.16	0.405	0.455	1.045	5
"ENSMUSG00000061533_4930534B04Rik"	4.62	6.66	5.81	2.535	1.36	0.415	0.48	0.54	3
"ENSMUSG00000067879_3110035E14Rik"	0.025	0	3.81	6.635	0.92	1.38	0.96	0.92	6
"ENSMUSG00000068048_Rhox9"	5.45	1.03	3.41	1.04	3.45	0.82	0.23	0.02	3
"ENSMUSG00000075254_Heg1"	1.045	1.05	6.67	3.22	1.23	0.875	0.475	0.585	5
"ENSMUSG00000006281_Tep1"	4.715	6.68	3.48	2.05	0.575	0.49	0.5	0.545	2
"ENSMUSG00000027412_Lpin3"	6.6	5.64	1.73	0.725	0.69	0.325	0.14	0.085	1
"ENSMUSG00000074802_Gas2l3"	5.925	6.68	3.33	0.895	0.8	0.325	0.46	0.8	2
"ENSMUSG00000022595_Lypd2"	5.62	1.56	0	0	0.01	0	0	0	1
"ENSMUSG00000056531_Ccdc18"	5.67	6.72	2.21	0.41	0.395	0.09	0.11	0.07	2
"ENSMUSG00000058248_Kcnh1"	0.25	0.1	0.87	0.25	2.51	5.52	6.54	6.325	10
"ENSMUSG00000043079_Synpo"	0.225	0.24	3.9	6.695	0.71	1.05	0.765	1.24	5
"ENSMUSG00000064293_Cntn4"	0	0.03	0.11	0.22	5.595	6.395	6.73	6.04	9
"ENSMUSG00000022723_Crybg3"	3.935	5.08	6.76	4.925	0.685	0.415	0.32	0.345	4
"ENSMUSG00000052609_Plekhg3"	3.005	6.76	4.87	2.89	0.71	0.25	0.105	0.16	3
"ENSMUSG00000075585_6330403L08Rik"	0.16	0.29	0.31	0.73	2.595	4.83	4.965	6.685	10
"ENSMUSG00000033644_Piwil2"	5.99	3.18	0.94	0.115	0.135	0.065	0.095	0.08	1
"ENSMUSG00000041120_Nbl1"	0.42	0.22	5.09	6.655	4.89	2.64	1.75	2.84	6
"ENSMUSG00000020226_Slc5a4b"	5.525	1.94	0.13	0.14	0.22	0.11	0.075	0.08	1
"ENSMUSG00000032313_AI118078"	1.64	0.63	1.17	2.83	6.045	6.3	5.905	4.925	8
"ENSMUSG00000065952_C330021F23Rik"	6.435	6.8	0.67	0.03	0.415	0.04	0.05	0.03	1
"ENSMUSG00000028159_Dapp1"	5.885	6.81	1.21	0.275	0.195	0.055	0.055	0.04	1
"ENSMUSG00000033871_Ppargc1b"	2.05	1.61	0.68	0.285	1.53	4.985	6.77	5.86	10
"ENSMUSG00000042514_Klhl14"	0.035	0.07	1.85	4.57	4.11	6.425	6.74	5.52	8
"ENSMUSG00000058741_Prr19"	6.44	2.72	0.21	0.33	1.66	0.345	0.23	0.16	1
"ENSMUSG00000071235_Vrtn"	4.435	6.81	0.01	0.015	0.88	0.03	0.03	0.01	1
"ENSMUSG00000035877_Zhx3"	0.225	0.33	2.53	5.235	5.4	5.295	5.45	6.7	8
"ENSMUSG00000078853_Igtp"	5.48	3.25	1.65	0.8	0.275	0.525	0.565	0.995	1
"ENSMUSG00000028599_Tnfrsf1b"	6.445	2.29	1.27	0.2	0.18	0.265	0.17	0.3	1
"ENSMUSG00000068551_Zfp467"	0.34	0.46	1.06	2.55	5.085	6.405	5.665	6.635	9
"ENSMUSG00000022269_Mar-11"	1.515	1.7	0.53	3.22	6.725	4.825	4.415	3.955	8
"ENSMUSG00000056145_AI504432"	0.33	0.25	0.7	0.295	3.08	6.79	5.045	3.84	9
"ENSMUSG00000028268_Gbp3"	6.43	1.31	0.58	0.285	0.185	0.28	0.215	0.155	1
"ENSMUSG00000033880_Lgals3bp"	1.705	0.41	1.45	1.23	1.215	3.27	2.095	6.55	10
"ENSMUSG00000045092_S1pr1"	0.185	0.31	6.89	3.525	2.705	1.22	0.96	1.025	5
"ENSMUSG00000021895_Arhgef3"	5.63	5.59	1.04	0.98	2.345	2.64	3.25	6.81	1
"ENSMUSG00000002797_Ggct"	6.775	3.35	0.68	0.255	1.27	2.525	2.69	2.5	1
"ENSMUSG00000009633_G0s2"	1.295	1.02	4.4	5.755	0.86	2.28	2.295	6.325	6
"ENSMUSG00000034738_Nostrin"	0.435	2.31	6.92	2.99	0.85	0.245	0.11	0.08	4
"ENSMUSG00000042345_Ubash3a"	6.775	4.15	0.07	0.025	0.08	0.005	0.01	0	1
"ENSMUSG00000022367_Has2"	1.58	3.06	6.95	4.095	0.88	0.305	0.195	0.175	4
"ENSMUSG00000020681_Ace"	0.72	0.13	0.1	0.085	3.785	6.95	5.825	4.455	9
"ENSMUSG00000055555_4930502E18Rik"	6.185	2.22	0.81	0.095	0.085	0	0	0	1
"ENSMUSG00000004105_Angptl2"	0.335	0.74	6.68	6.615	0.615	0.365	0.15	0.205	5
"ENSMUSG00000028565_Nfia"	0.03	0.14	3.79	6.855	2.35	2.085	2.225	1.99	6
"ENSMUSG00000026414_Tnnt2"	0.335	0.69	2.45	6.95	0.055	0.1	0.035	0.05	5
"ENSMUSG00000050382_Kif7"	5.04	5.44	6.98	4.5	1.84	0.52	0.36	0.195	4
"ENSMUSG00000004948_Zp3"	6.035	0.88	0.02	0.07	0.185	0.01	0	0.025	1
"ENSMUSG00000019577_Pdk4"	5.105	6.99	0.59	0.24	0.125	0.05	0.045	0.055	1
"ENSMUSG00000026483_Fam129a"	6.42	2.61	1.03	4.93	0.62	0.42	0.21	0.265	1
"ENSMUSG00000027525_Phactr3"	0.7	0.22	0.64	2.465	6.57	6.21	5.745	5.43	8
"ENSMUSG00000038086_Hspb2"	6.42	1.51	0.16	0.26	0.095	0.045	0.015	0.02	1
"ENSMUSG00000040026_Saa3"	1.59	0.04	0.47	0.075	0.41	2.69	6.265	1.66	10
"ENSMUSG00000052301_Doc2a"	6.42	3.39	1.19	0.185	2.375	3.65	1.45	0.695	1
"ENSMUSG00000024517_Grp"	0.22	0.09	0.29	0.48	6.325	3.525	1.68	1.22	8
"ENSMUSG00000015980_Lrrc27"	2.565	0.72	1.37	1.585	4.87	5.22	5.5	7	10
"ENSMUSG00000024887_Asah2"	0.215	0.48	2.24	1.465	0.54	3.09	4.4	6.805	10
"ENSMUSG00000026220_Slc16a14"	0.755	1.26	0.83	3.055	6.92	3.91	2.085	1.285	7
"ENSMUSG00000029563_Foxp2"	0.05	0.13	3.87	4.145	3.815	6.265	6.965	5.67	8
"ENSMUSG00000070473_Cldn3"	6.835	2.64	0.21	0.045	0.23	0.06	0.035	0.02	1
"ENSMUSG00000052331_Ankrd44"	0.315	0.56	3.36	5.15	7.01	4.96	3.165	2.455	7
"ENSMUSG00000053965_Pde5a"	1.54	3.76	7.09	5.12	1.13	0.365	0.265	0.395	4
"ENSMUSG00000051278_4930422G04Rik"	4.975	7.1	5.18	1.945	0.985	0.335	0.255	0.38	3
"ENSMUSG00000032554_Trf"	6.785	3.2	1.48	0.585	0.525	0.4	0.39	0.36	1
"ENSMUSG00000051067_Lingo3"	1.38	0.59	0.47	0.07	4.935	7.095	5.945	4.015	9
"ENSMUSG00000030247_Kcnj8"	0.06	0	1.51	6.835	0.335	0.35	0.185	0.225	6
"ENSMUSG00000054409_Tmem74"	0.78	0.53	0.97	1.22	2.56	4.11	5.96	6.515	10
"ENSMUSG00000073771_Btbd19"	6.99	6.38	1.17	0.665	1.985	1.365	1.33	1.205	1
"ENSMUSG00000020788_Atp2a3"	3.705	7.13	0.54	0.225	0.195	0.09	0.085	0.095	1
"ENSMUSG00000038550_Gm129"	5.615	3.38	0.39	0.345	1.425	2.48	3.33	5.145	1
"ENSMUSG00000078164_Gm4392"	0	0.15	1.4	0.775	3.345	6.76	6.24	5.89	10
"ENSMUSG00000038781_Stap2"	6.445	4.5	1.32	0.99	0.755	0.175	0.13	0.315	1
"ENSMUSG00000070732_Rbm44"	3.905	7.16	1.48	0.12	0.06	0.01	0.01	0.005	2
"ENSMUSG00000022829_Stxbp5l"	0.06	0.12	0.48	0.865	2.6	6.025	6.81	6.51	10
"ENSMUSG00000024497_Pou4f3"	1.045	0.3	0.54	0.52	7.14	2.22	1.89	1.895	8
"ENSMUSG00000073427_Gm10503"	4.885	7.17	2.15	2.345	1.62	0.675	0.465	0.43	2
"ENSMUSG00000044562_Rasip1"	6.37	3.21	2.13	0.52	4.24	1.375	0.6	0.445	1
"ENSMUSG00000061728_Btnl7"	2.21	7.2	0.4	0.28	0.05	0	0.015	0.02	2
"ENSMUSG00000001763_Tspan33"	4.265	3.82	2.6	0.44	2.195	5.01	5.355	6.99	10
"ENSMUSG00000024172_St6gal2"	0.165	0.31	0.96	1.975	7.035	2.875	2.11	1.8	7
"ENSMUSG00000022487_Gtsf1"	5.92	1.03	0.72	0.065	0.075	0.03	0.03	0	1
"ENSMUSG00000023066_Rttn"	5.54	7.22	3.53	1.93	1.135	0.47	0.425	0.605	2
"ENSMUSG00000048485_Zbtb8b"	2.94	2.33	0.85	2.19	6.915	5.195	4.69	4.505	8
"ENSMUSG00000079444_Prickle4"	0.455	0.51	2.47	2.535	6.115	7.2	6.26	5.645	8
"ENSMUSG00000020374_Rasgef1c"	0.585	0.08	0.76	0.855	7.12	7.025	5.19	3.22	8
"ENSMUSG00000029864_Gstk1"	4.41	4.97	7.23	4.99	0.725	0.5	0.4	0.51	4
"ENSMUSG00000057967_Fgf18"	0.965	0.78	2.8	4.645	3.775	6.49	7.06	6.615	9
"ENSMUSG00000019982_Myb"	2.465	7.24	1.26	0.67	0.55	0.04	0.045	0.04	2
"ENSMUSG00000026765_Lypd6b"	0.465	0.33	0.14	0.115	3.01	7.015	6.28	4.56	9
"ENSMUSG00000026946_Nmi"	6.055	2.02	2.83	1.58	0.295	0.225	0.29	0.33	2
"ENSMUSG00000017713_Tha1"	0.61	0.19	7.26	1.91	1.25	1.185	1.19	1.415	5
"ENSMUSG00000021198_Unc79"	0.045	0.08	1.06	6.56	7.245	6.79	5.895	6.365	8
"ENSMUSG00000001911_Nfix"	0.2	0.29	2.8	7.15	5.35	3.19	1.66	1.7	6
"ENSMUSG00000021720_Rnf180"	0.515	0.92	1.66	1.89	7.18	5.125	4.75	5.235	8
"ENSMUSG00000036030_Prtg"	4.07	6.22	7.27	0.7	1.545	0.06	0.07	0.09	3
"ENSMUSG00000078564_Gm9631"	6.78	6.46	0.98	0.35	0.65	0.13	0.135	0.19	1
"ENSMUSG00000042662_Dusp15"	0.19	0.18	0.14	0.355	4.97	5.295	4.845	7.165	9
"ENSMUSG00000016458_Wt1"	5.77	4.21	6.63	6.345	0.69	0.545	0.315	0.24	4
"ENSMUSG00000030905_Crym"	5.485	1.61	0.71	1.955	7.105	0.555	0.34	0.45	1
"ENSMUSG00000055235_Wdr86"	6.495	2.94	0.46	0.19	0.15	0	0.005	0	1
"ENSMUSG00000048251_Bcl11b"	0.375	0.51	1.23	5.25	7.115	2.77	1.375	0.795	7
"ENSMUSG00000001420_Tmem79"	6.42	2.98	1.62	1.27	0.545	0.29	0.34	0.38	1
"ENSMUSG00000015653_Steap2"	3.99	6.65	1.43	1.035	1.205	3.495	5.36	7.215	10
"ENSMUSG00000017897_Eya2"	0.4	0.31	7.33	4.005	0.4	0.585	0.505	0.495	5
"ENSMUSG00000031870_Pgr"	0.28	0.41	0.47	0.235	2.685	5.085	6.645	7.165	10
"ENSMUSG00000037709_Fam13a"	0.79	0.55	0.95	1.79	4.38	5.045	5.52	7.275	10
"ENSMUSG00000022969_Il10rb"	0.645	0.98	7.35	3.535	0.82	0.75	0.635	0.575	5
"ENSMUSG00000028610_Dmrtb1"	6.41	2.63	0.66	1.22	1.87	0.21	0.06	0.05	1
"ENSMUSG00000043165_Lor"	0.475	0.36	0.25	0.885	4.135	6.67	4.71	3.62	9
"ENSMUSG00000060675_Pla2g16"	7.14	5.24	2.74	0.6	0.86	0.445	0.34	0.455	1
"ENSMUSG00000020467_Efemp1"	0.42	0.49	3.99	7.03	1.945	1.05	0.83	1.155	6
"ENSMUSG00000057751_Megf6"	1.77	1.78	7.38	5.385	1.315	0.64	0.38	0.215	5
"ENSMUSG00000024339_Tap2"	6.715	3.14	2.83	0.81	0.585	1.52	3.545	6.97	1
"ENSMUSG00000036006_Fam65b"	0.085	0.13	0.42	2.5	5.9	7.125	7.025	7.225	9
"ENSMUSG00000051107_Gm15440"	0.12	0.18	0.09	0.155	5.625	7.165	6.415	7.08	9
"ENSMUSG00000025321_Itgb8"	0.035	0.2	7.41	3.205	4.17	2.66	2.225	2	6
"ENSMUSG00000026495_Efcab2"	0.86	1.74	3	2.49	4.05	6.29	7.06	6.755	10
"ENSMUSG00000034917_Tjp3"	7.005	6.41	1.74	0.65	2.025	0.49	0.37	0.38	1
"ENSMUSG00000047904_Sstr2"	0.46	0.06	7.41	4.98	1.78	6.435	5	4.39	6
"ENSMUSG00000033740_St18"	0.005	0	5.55	7.02	0.44	1.5	1.21	0.835	5
"ENSMUSG00000035486_Plk5"	7.42	4.6	0.16	0.13	1.285	1.05	0.41	0.545	1
"ENSMUSG00000055184_Fam72a"	6.82	4.97	3	1.42	0.82	0.44	0.485	0.67	2
"ENSMUSG00000068099_1500009C09Rik"	1.015	0.02	0.02	0.06	2.555	4.075	4.585	7.015	10
"ENSMUSG00000029149_Krtcap3"	5.295	7.45	4.47	3.045	1.37	0.755	0.705	1.265	3
"ENSMUSG00000032014_Oaf"	0.745	0.75	6.9	6.71	2.775	2.075	1.11	1.81	5
"ENSMUSG00000022206_Npr3"	0.625	0.69	7.47	6.615	0.78	1.85	1.625	0.98	5
"ENSMUSG00000023965_Fbxl17"	0.87	1.37	2.34	3.63	7.2	7.435	6.275	5.44	8
"ENSMUSG00000040146_Rgl3"	1.06	1.63	7.47	1.835	0.265	0.21	0.11	0.26	4
"ENSMUSG00000043336_Filip1l"	0.205	0.31	3.42	6.995	0.675	0.605	0.395	0.73	5
"ENSMUSG00000002289_Angptl4"	7.105	4.59	0.51	0.205	0.18	0.02	0.01	0.04	1
"ENSMUSG00000022371_Col14a1"	0.155	1	4.68	6.66	7.43	2.6	1.68	2.025	6
"ENSMUSG00000040483_Xaf1"	6.27	2.33	1.56	1.18	0.545	0.45	0.19	0.27	1
"ENSMUSG00000047632_Fgfbp3"	1.04	0.54	7.5	2.81	4.355	0.92	0.55	0.695	5
"ENSMUSG00000026029_Casp8"	0.89	1.56	7.19	7.19	0.2	0.195	0.125	0.25	5
"ENSMUSG00000038010_Ccdc138"	4.975	7.52	3.16	1.14	1.5	0.825	0.72	0.53	2
"ENSMUSG00000020866_Cacna1g"	0.5	0.47	1.45	4.775	5.56	7.225	4.96	4.25	8
"ENSMUSG00000044393_Dsg2"	5.545	7.53	5.36	4.67	0.635	0.21	0.16	0.14	3
"ENSMUSG00000022382_Wnt7b"	1.57	0.15	7.54	6.38	6.325	1.55	0.935	0.49	5
"ENSMUSG00000035385_Ccl2"	0.085	0.02	0.31	6.945	0.765	1.55	1.15	7.265	6
"ENSMUSG00000038244_Mical2"	0.315	0.21	7.18	7.215	1.93	2.38	2.065	2.92	5
"ENSMUSG00000042631_Xkr7"	0.255	0.2	4.19	5.015	7.51	4.255	3.305	2.025	7
"ENSMUSG00000055471_Alk"	0.09	0.05	0.15	0.495	4.145	7.415	6.385	4.175	9
"ENSMUSG00000034145_Tmem63c"	0.52	0.3	0.16	0.22	2.255	5.925	5.735	7.25	10
"ENSMUSG00000075324_Fign"	0.59	0.98	2.74	7.095	1.595	2.24	2.075	1.78	6
"ENSMUSG00000058740_Kcnt1"	0.12	0.24	0.2	0.475	2.005	3.27	3.105	7.36	10
"ENSMUSG00000035131_Fam5c"	0.015	0.04	0.39	1.375	4.36	7.505	7	6.445	9
"ENSMUSG00000035121_Neil2"	5.43	7.6	0.69	0.4	0.235	0.6	0.74	1.13	1
"ENSMUSG00000025578_Cbx8"	0.255	0.57	3.19	7.135	6.43	6.4	6.845	7.12	7
"ENSMUSG00000059187_Fam19a1"	0.015	0.01	0.03	0.14	7.57	3.805	4.45	4.75	8
"ENSMUSG00000028132_Tmem56"	0.07	0.06	0.6	0.345	2.285	6.775	7.615	6.88	10
"ENSMUSG00000029641_Rasl11a"	7.47	3.32	5.57	3.79	1.23	0.455	0.195	0.235	3
"ENSMUSG00000040219_Ttc12"	3.155	7.62	3.54	1.37	0.395	0.105	0.06	0.105	3
"ENSMUSG00000051335_Gfod1"	0.895	0.52	1.16	3.15	6.625	7.555	6.17	5.225	8
"ENSMUSG00000070576_Mn1"	0.495	0.38	2.97	6.08	7.47	6.345	3.555	2.035	7
"ENSMUSG00000027967_Neurog2"	0.01	0	3.92	6.835	0.325	0.235	0.375	0.63	5
"ENSMUSG00000022076_Klhl1"	0.005	0	0.14	0.635	5.095	5.555	6.45	7.39	9
"ENSMUSG00000033488_BC026585"	7.37	5.49	6.92	2.36	0.685	0.585	0.515	0.65	3
"ENSMUSG00000025407_Gli1"	4.975	2.66	7.65	3.035	0.99	0.295	0.14	0.21	4
"ENSMUSG00000022747_St3gal6"	0.4	0.72	6.48	7.425	1.8	2.645	3.705	3.695	6
"ENSMUSG00000036139_Hoxc9"	0.05	0.1	5.4	7.175	5.01	0.98	0.585	0.66	6
"ENSMUSG00000030111_A2m"	5.9	7.67	1.61	0.415	2.49	0.765	0.51	0.9	1
"ENSMUSG00000036833_Pnpla7"	4.49	7.67	2.53	1.025	0.925	0.59	0.78	1.075	2
"ENSMUSG00000040136_Abcc8"	0.425	0.1	0.15	0.16	2.165	5.105	5.815	7.56	10
"ENSMUSG00000090673_AC132303.1"	6.545	7.34	4.74	4.415	0.82	0.64	0.51	0.59	3
"ENSMUSG00000027016_Zfp385b"	0.11	0.09	0.3	0.49	2.345	5.23	7.61	7.15	10
"ENSMUSG00000039405_Prss23"	0.205	0.48	7.07	7.655	3.9	0.585	0.705	1.29	5
"ENSMUSG00000041343_Ankrd42"	0.69	0.66	2.58	3.43	6.5	6.195	6.27	7.68	9
"ENSMUSG00000040373_Cacng5"	0.075	0.08	0.2	0.57	2.945	7.375	5.205	3.915	9
"ENSMUSG00000045232_Rln3"	6.96	3.59	0.16	0	0.27	0	0	0	1
"ENSMUSG00000032238_Rora"	0.315	0.34	0.45	0.53	1.985	2.985	4.23	7.48	10
"ENSMUSG00000041498_Kif14"	6.525	7.74	6.11	1.78	0.615	0.05	0.015	0.05	3
"ENSMUSG00000072324_Gm6937"	6.095	7.74	5.88	4.825	1.63	0.675	1.17	0.96	3
"ENSMUSG00000006587_Snai3"	6.64	1.35	0.03	0	0.105	0.045	0.005	0.015	1
"ENSMUSG00000027832_Ptx3"	0.01	0.03	0.61	7.625	0.215	0.055	0.015	0.05	6
"ENSMUSG00000035305_Ror1"	0.53	5.15	2.98	7.47	0.89	0.515	0.435	0.39	5
"ENSMUSG00000039488_Cntn5"	0.005	0.01	0.2	0.535	4.84	7.41	7.7	6.465	9
"ENSMUSG00000024866_Acy3"	6.495	5.75	1.2	0.785	0.4	0.37	0.225	0.36	1
"ENSMUSG00000026437_Cdk18"	7.29	6.96	0.68	0.24	0.295	0.32	0.34	0.855	1
"ENSMUSG00000031636_Pdlim3"	3.99	7.77	2.28	0.93	0.44	0.86	0.61	1.65	2
"ENSMUSG00000056089_Gm5468"	0	0	0.66	2.795	7.535	1.87	0.795	1.075	7
